PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2,tc
P15289,ARSA,ARSA_HUMAN,azurophil granule lumen [GO:0035578]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; arylsulfatase activity [GO:0004065]; calcium ion binding [GO:0005509]; cerebroside-sulfatase activity [GO:0004098]; sulfuric ester hydrolase activity [GO:0008484]; glycosphingolipid metabolic process [GO:0006687]; neutrophil degranulation [GO:0043312],SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:9342345}. Lysosome {ECO:0000305|PubMed:2562955}.,Arylsulfatase A (ASA) (EC 3.1.6.8) (Cerebroside-sulfatase) [Cleaved into: Arylsulfatase A component B; Arylsulfatase A component C],GO:0004065; GO:0004098; GO:0005509; GO:0005576; GO:0005764; GO:0005788; GO:0006687; GO:0008484; GO:0035578; GO:0043202; GO:0043312; GO:0070062,1.00E-07,1.00E-07,1.00E-07,0.006906616,0.00982997,0.005511384,0.006906616,-7.177805192,0.00741589,0.003708045,6.050262125,0.002929228,0.035974445,-4.843750272,53588,1.444005892,8,3,0,1.00E-07,0.006906616,69066.16379,16.07569147,-7.177805192,-6.668597273,-7.503369548,1
Q9UBU9,NXF1,NXF1_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear inclusion body [GO:0042405]; nuclear pore [GO:0005643]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; mRNA export from nucleus [GO:0006406]; poly(A)+ mRNA export from nucleus [GO:0016973]; RNA export from nucleus [GO:0006405]; viral process [GO:0016032],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10924507, ECO:0000269|PubMed:19864460, ECO:0000269|PubMed:25662211}. Nucleus, nucleoplasm {ECO:0000269|PubMed:19324961, ECO:0000269|PubMed:23826332}. Nucleus speckle {ECO:0000269|PubMed:19324961, ECO:0000269|PubMed:23826332}. Cytoplasm {ECO:0000269|PubMed:10924507, ECO:0000269|PubMed:19324961, ECO:0000269|PubMed:19864460}. Note=Localized predominantly in the nucleoplasm and at both the nucleoplasmic and cytoplasmic faces of the nuclear pore complex. Shuttles between the nucleus and the cytoplasm. Travels to the cytoplasm as part of the exon junction complex (EJC) bound to mRNA. The association with the TREX complex seems to occur in regions surrounding nuclear speckles known as perispeckles (PubMed:23826332). Nucleus; nuclear rim (PubMed:25662211). {ECO:0000269|PubMed:23826332, ECO:0000269|PubMed:25662211}.",Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP),GO:0003723; GO:0003729; GO:0005634; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0006405; GO:0006406; GO:0016032; GO:0016607; GO:0016973; GO:0042405,0.000118805,6.27E-05,0.001227952,0.075441516,0.081573672,0.044420084,0.075441516,-3.728497525,0.066675273,0.033807454,6.021404286,0.002984815,0.036396033,-4.866484323,70182,1.438945951,9,0,0,0.000118805,0.075441516,635.0020465,9.310617431,-3.728497525,-3.615752595,-4.492644056,1
Q9NS39,ADARB2,RED2_HUMAN,nucleus [GO:0005634]; adenosine deaminase activity [GO:0004000]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; mRNA processing [GO:0006397],SUBCELLULAR LOCATION: Nucleus.,Double-stranded RNA-specific editase B2 (EC 3.5.-.-) (RNA-dependent adenosine deaminase 3) (RNA-editing deaminase 2) (RNA-editing enzyme 2) (dsRNA adenosine deaminase B2),GO:0003723; GO:0003725; GO:0003727; GO:0004000; GO:0005634; GO:0006397; GO:0046872,0.000128628,0.000116948,0.029203602,0.685546112,0.635157165,0.368022712,0.635157165,-0.654814474,0.55309227,0.286362528,5.805306547,0.003444251,0.039734212,-5.03949327,80621,1.400835392,5,0,0,0.000128628,0.635157165,4937.931159,12.26969101,-0.544674385,-0.654814474,-1.442133294,1
Q9GZR7,DDX24,DDX24_HUMAN,cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleolus [GO:0005730]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA metabolic process [GO:0016070]; RNA secondary structure unwinding [GO:0010501],,ATP-dependent RNA helicase DDX24 (EC 3.6.4.13) (DEAD box protein 24),GO:0003723; GO:0003724; GO:0004004; GO:0005524; GO:0005730; GO:0005737; GO:0010501; GO:0016020; GO:0016070,0.000142388,0.010744629,0.000174439,0.023064858,0.023016445,0.025945916,0.023064858,-5.438159771,0.020321921,0.013848112,5.770031867,0.003527138,0.040238183,-5.068207539,96332,1.395361641,11,0,0,0.000174439,0.023064858,132.2232198,7.046831742,-5.438159771,-5.441191191,-5.268348733,1
Q9BZR6,RTN4R,RTN4R_HUMAN,anchored component of external side of plasma membrane [GO:0031362]; axonal growth cone [GO:0044295]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; chondroitin sulfate binding [GO:0035374]; ganglioside GM1 binding [GO:1905573]; ganglioside GT1b binding [GO:1905576]; heparin binding [GO:0008201]; neuregulin receptor activity [GO:0038131]; protein kinase inhibitor activity [GO:0004860]; signaling receptor activity [GO:0038023]; axonogenesis [GO:0007409]; cell surface receptor signaling pathway [GO:0007166]; corpus callosum development [GO:0022038]; cytokine-mediated signaling pathway [GO:0019221]; negative regulation of axon extension [GO:0030517]; negative regulation of axon regeneration [GO:0048681]; negative regulation of axonogenesis [GO:0050771]; negative regulation of JAK-STAT cascade [GO:0046426]; negative regulation of neuron projection development [GO:0010977]; negative regulation of protein kinase activity [GO:0006469]; neuronal signal transduction [GO:0023041]; positive regulation of GTPase activity [GO:0043547]; positive regulation of Rho protein signal transduction [GO:0035025],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12426574, ECO:0000269|PubMed:12694398, ECO:0000269|PubMed:12839991, ECO:0000269|PubMed:16712417, ECO:0000269|PubMed:18411262}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:12694398}. Membrane raft {ECO:0000269|PubMed:12694398}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q99PI8}. Cell projection, axon {ECO:0000250|UniProtKB:Q99PI8}. Perikaryon {ECO:0000250|UniProtKB:Q99M75}. Note=Detected along dendrites and axons, close to synapses, but clearly excluded from synapses. {ECO:0000250|UniProtKB:Q99PI8}.",Reticulon-4 receptor (Nogo receptor) (NgR) (Nogo-66 receptor),GO:0004860; GO:0005737; GO:0005783; GO:0005886; GO:0005887; GO:0006469; GO:0007166; GO:0007409; GO:0008201; GO:0009986; GO:0010977; GO:0019221; GO:0022038; GO:0023041; GO:0030517; GO:0031362; GO:0035025; GO:0035374; GO:0038023; GO:0038131; GO:0043005; GO:0043025; GO:0043198; GO:0043204; GO:0043547; GO:0044295; GO:0045121; GO:0046426; GO:0048681; GO:0050771; GO:0070062; GO:1905573; GO:1905576,0.413150975,0.479561421,0.497816721,0.726203527,0.666122023,0.630519366,0.666122023,-0.586141615,0.210771933,0.568895672,5.768730323,0.003530242,0.040238183,-5.069269607,50708,1.395361641,4,0,0,0.479561421,0.666122023,1.389023373,0.474070876,-0.461554158,-0.586141615,-0.665387411,1
Q96RT7,TUBGCP6,GCP6_HUMAN,centrosome [GO:0005813]; cytosol [GO:0005829]; equatorial microtubule organizing center [GO:0000923]; gamma-tubulin ring complex [GO:0008274]; membrane [GO:0016020]; microtubule [GO:0005874]; spindle pole [GO:0000922]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; structural constituent of cytoskeleton [GO:0005200]; centrosome duplication [GO:0051298]; cytoplasmic microtubule organization [GO:0031122]; meiotic cell cycle [GO:0051321]; microtubule nucleation [GO:0007020]; microtubule nucleation by interphase microtubule organizing center [GO:0051415]; mitotic spindle assembly [GO:0090307],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:11694571}.",Gamma-tubulin complex component 6 (GCP-6),GO:0000922; GO:0000923; GO:0005200; GO:0005813; GO:0005829; GO:0005874; GO:0007020; GO:0008017; GO:0008274; GO:0016020; GO:0031122; GO:0043015; GO:0051298; GO:0051321; GO:0051415; GO:0090307,0.000603179,1.00E-07,1.00E-07,0.156513934,0.220453457,0.117860453,0.156513934,-2.675636989,0.164741489,0.082571871,5.722266631,0.003643249,0.040980569,-5.107305611,200498,1.387422015,3,2,0,1.00E-07,0.156513934,1565139.345,20.57785968,-2.675636989,-2.181453994,-3.084848381,1
Q643R3,LPCAT4,LPCT4_HUMAN,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; 1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; 1-acylglycerophosphocholine O-acyltransferase activity [GO:0047184]; 1-alkenylglycerophosphoethanolamine O-acyltransferase activity [GO:0047166]; 1-alkylglycerophosphocholine O-acetyltransferase activity [GO:0047192]; 2-acylglycerol-3-phosphate O-acyltransferase activity [GO:0047144]; lysophospholipid acyltransferase activity [GO:0071617]; phosphatidic acid biosynthetic process [GO:0006654]; phosphatidylcholine acyl-chain remodeling [GO:0036151]; phosphatidylethanolamine acyl-chain remodeling [GO:0036152]; phosphatidylglycerol acyl-chain remodeling [GO:0036148]; phosphatidylserine acyl-chain remodeling [GO:0036150]; phospholipid metabolic process [GO:0006644],"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:16243729, ECO:0000269|PubMed:18458083}; Multi-pass membrane protein {ECO:0000269|PubMed:16243729, ECO:0000269|PubMed:18458083}.",Lysophospholipid acyltransferase LPCAT4 (1-acylglycerol-3-phosphate O-acyltransferase 7) (1-AGP acyltransferase 7) (1-AGPAT 7) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (1-alkenylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.121) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acyltransferase-like 3) (Lysophosphatidylcholine acyltransferase 4) (Lysophosphatidylethanolamine acyltransferase 2) (EC 2.3.1.n7) (Plasmalogen synthase),GO:0003841; GO:0005783; GO:0005789; GO:0006644; GO:0006654; GO:0016020; GO:0016021; GO:0036148; GO:0036150; GO:0036151; GO:0036152; GO:0047144; GO:0047166; GO:0047184; GO:0047192; GO:0071617,7.33E-05,1.00E-07,1.00E-07,0.149648315,0.155850987,0.081790022,0.149648315,-2.740352056,0.129071947,0.064560468,5.653995082,0.003817326,0.042054456,-5.163625681,57219,1.376187982,8,2,0,1.00E-07,0.149648315,1496483.155,20.51314461,-2.740352056,-2.681760807,-3.611931331,1
Q147X3,NAA30,NAA30_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; NatC complex [GO:0031417]; nucleus [GO:0005634]; peptide alpha-N-acetyltransferase activity [GO:0004596]; N-terminal peptidyl-methionine acetylation [GO:0017196],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19398576, ECO:0000269|PubMed:25732826}. Nucleus {ECO:0000269|PubMed:25732826}.",N-alpha-acetyltransferase 30 (EC 2.3.1.256) (N-acetyltransferase 12) (N-acetyltransferase MAK3 homolog) (NatC catalytic subunit),GO:0004596; GO:0005634; GO:0005737; GO:0005829; GO:0017196; GO:0031417,1.00E-07,1.00E-07,0.00190523,0.038281071,0.044842982,0.069357792,0.044842982,-4.478973974,0.050192139,0.025731213,5.502471371,0.004240892,0.044651949,-5.290495023,39320,1.350159576,7,2,0,1.00E-07,0.044842982,448429.8192,18.77452269,-4.707224982,-4.478973974,-3.849798209,1
P54098,POLG,DPOG1_HUMAN,"gamma DNA polymerase complex [GO:0005760]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]; terminal bouton [GO:0043195]; 3'-5' exonuclease activity [GO:0008408]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; protease binding [GO:0002020]; aging [GO:0007568]; base-excision repair, gap-filling [GO:0006287]; cellular response to glucose stimulus [GO:0071333]; DNA metabolic process [GO:0006259]; DNA-dependent DNA replication [GO:0006261]; mitochondrial DNA replication [GO:0006264]; response to gamma radiation [GO:0010332]; response to hyperoxia [GO:0055093]; response to light stimulus [GO:0009416]","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:18063578}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:18063578}.",DNA polymerase subunit gamma-1 (EC 2.7.7.7) (Mitochondrial DNA polymerase catalytic subunit) (PolG-alpha),GO:0002020; GO:0003677; GO:0003682; GO:0003887; GO:0005739; GO:0005760; GO:0006259; GO:0006261; GO:0006264; GO:0006287; GO:0007568; GO:0008408; GO:0009416; GO:0010332; GO:0032991; GO:0042645; GO:0043195; GO:0055093; GO:0071333,0.000163911,6.73E-05,7.19E-05,0.016848734,0.033707639,0.028444016,0.028444016,-5.135731026,0.026232434,0.013217246,5.473222081,0.004329058,0.045110621,-5.315287534,139562,1.345721197,14,0,0,7.19E-05,0.028444016,395.6596481,8.628116127,-5.89121597,-4.890780594,-5.135731026,1
Q9Y5E9,PCDHB14,PCDBE_HUMAN,integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; calcium ion binding [GO:0005509]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; chemical synaptic transmission [GO:0007268]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; synapse assembly [GO:0007416],SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.,Protocadherin beta-14 (PCDH-beta-14),GO:0005509; GO:0005887; GO:0007155; GO:0007156; GO:0007268; GO:0007416; GO:0016021; GO:0016339,9.86E-05,0.000135422,0.000156234,0.02362117,0.047313745,0.039902118,0.039902118,-4.647390858,0.03681558,0.018537888,5.466849887,0.004348557,0.045119577,-5.320701937,87548,1.345634983,6,0,0,0.000135422,0.039902118,294.6502327,8.202859595,-5.403775755,-4.401596825,-4.647390858,1
Q8TCT7,SPPL2B,SPP2B_HUMAN,"actin cytoskeleton [GO:0015629]; centrosome [GO:0005813]; endosome membrane [GO:0010008]; Golgi membrane [GO:0000139]; Golgi-associated vesicle membrane [GO:0030660]; integral component of cytoplasmic side of endoplasmic reticulum membrane [GO:0071458]; integral component of lumenal side of endoplasmic reticulum membrane [GO:0071556]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; aspartic endopeptidase activity, intramembrane cleaving [GO:0042500]; protein homodimerization activity [GO:0042803]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; membrane protein proteolysis [GO:0033619]; regulation of immune response [GO:0050776]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]",SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16829952}; Multi-pass membrane protein {ECO:0000305}. Golgi apparatus membrane {ECO:0000269|PubMed:17965014}; Multi-pass membrane protein {ECO:0000305}. Lysosome membrane {ECO:0000269|PubMed:15998642}; Multi-pass membrane protein {ECO:0000305}. Endosome membrane {ECO:0000269|PubMed:15998642}; Multi-pass membrane protein {ECO:0000305}. Membrane {ECO:0000269|PubMed:15385547}; Multi-pass membrane protein {ECO:0000305}; Lumenal side {ECO:0000269|PubMed:15385547}. Note=targeted through the entire secretory pathway to endosomes/lysosomes (PubMed:15998642). {ECO:0000269|PubMed:15998642}.,Signal peptide peptidase-like 2B (SPP-like 2B) (SPPL2b) (EC 3.4.23.-) (Intramembrane protease 4) (IMP-4) (Presenilin homologous protein 4) (PSH4) (Presenilin-like protein 1),GO:0000139; GO:0005654; GO:0005765; GO:0005813; GO:0005886; GO:0006509; GO:0010008; GO:0010803; GO:0015629; GO:0016020; GO:0030660; GO:0031293; GO:0033619; GO:0042500; GO:0042803; GO:0050776; GO:0071458; GO:0071556,2.46E-05,6.11E-05,0.000269009,0.027454433,0.013717879,0.022902614,0.022902614,-5.448343923,0.021240057,0.01073828,5.461662356,0.00436451,0.04513745,-5.325113224,64644,1.345462979,6,0,0,6.11E-05,0.022902614,374.7990383,8.549973441,-5.186817071,-6.187798732,-5.448343923,1
Q8TBC5,ZSCAN18,ZSC18_HUMAN,"nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcription, DNA-templated [GO:0006351]",SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.,Zinc finger and SCAN domain-containing protein 18 (Zinc finger protein 447),GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0046872,9.17E-05,4.58E-05,3.74E-05,0.031507157,0.063128539,0.049557112,0.049557112,-4.334764069,0.048005966,0.024061286,5.446343603,0.004412031,0.045393012,-5.338158026,54804,1.343011,3,0,0,4.58E-05,0.049557112,1081.637553,10.07900143,-4.988176618,-3.985563827,-4.334764069,1
Q9UKZ9,PCOLCE2,PCOC2_HUMAN,extracellular region [GO:0005576]; collagen binding [GO:0005518]; heparin binding [GO:0008201]; peptidase activator activity [GO:0016504]; cellular response to leukemia inhibitory factor [GO:1990830],SUBCELLULAR LOCATION: Secreted {ECO:0000305}.,Procollagen C-endopeptidase enhancer 2 (Procollagen COOH-terminal proteinase enhancer 2) (PCPE-2) (Procollagen C-proteinase enhancer 2),GO:0005518; GO:0005576; GO:0008201; GO:0016504; GO:1990830,3.23E-05,1.36E-06,9.50E-06,0.044258784,0.022080109,0.034453266,0.034453266,-4.859215433,0.033583,0.016805887,5.43808055,0.004437923,0.045436301,-5.345205859,45717,1.342597036,5,0,0,9.50E-06,0.034453266,3626.34384,11.82430001,-4.49789237,-5.501108889,-4.859215433,1
Q9BTU6,PI4K2A,P4K2A_HUMAN,cell junction [GO:0030054]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendrite [GO:0030425]; early endosome membrane [GO:0031901]; endosome [GO:0005768]; growing cell tip [GO:0035838]; host cell presynaptic membrane [GO:0044231]; integral component of plasma membrane [GO:0005887]; intrinsic component of membrane [GO:0031224]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; presynaptic membrane [GO:0042734]; protein-containing complex [GO:0032991]; synaptic vesicle membrane [GO:0030672]; trans-Golgi network [GO:0005802]; 1-phosphatidylinositol 4-kinase activity [GO:0004430]; AP-3 adaptor complex binding [GO:0035651]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; basophil degranulation [GO:0002561]; endosome organization [GO:0007032]; Golgi organization [GO:0007030]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphorylation [GO:0046854],"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:16443754, ECO:0000269|PubMed:22535966}; Lipid-anchor {ECO:0000269|PubMed:22535966}. Membrane raft {ECO:0000269|PubMed:11279162}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q2TBE6}. Cell junction, synapse, presynaptic cell membrane {ECO:0000250|UniProtKB:Q2TBE6}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:Q2TBE6}. Mitochondrion {ECO:0000250|UniProtKB:Q2TBE6}. Endosome {ECO:0000269|PubMed:16443754, ECO:0000269|PubMed:23146885}. Cytoplasmic vesicle {ECO:0000269|PubMed:16443754}. Membrane {ECO:0000269|PubMed:24675427}; Lipid-anchor {ECO:0000269|PubMed:24675427}. Cell membrane {ECO:0000269|PubMed:11279162, ECO:0000269|PubMed:16443754}. Note=Localized in neuronal cell body. Transported from neuronal cell body to neuron projections in a BLOC-1- and AP-3-complexes-dependent manner. Enriched in neurite tips and neuron projections in a BLOC-1- and AP-3-complexes-dependent manner (By similarity). Found in subdomains of the plasma membrane termed non-caveolar membrane rafts. {ECO:0000250|UniProtKB:Q2TBE6, ECO:0000250|UniProtKB:Q99M64}.",Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha),GO:0000287; GO:0002561; GO:0004430; GO:0005524; GO:0005739; GO:0005765; GO:0005768; GO:0005802; GO:0005829; GO:0005887; GO:0006661; GO:0007030; GO:0007032; GO:0016020; GO:0030054; GO:0030425; GO:0030672; GO:0031224; GO:0031410; GO:0031901; GO:0032991; GO:0035651; GO:0035838; GO:0042734; GO:0043005; GO:0043025; GO:0043204; GO:0044231; GO:0045121; GO:0046854,0.00044699,2.46E-05,4.74E-05,0.033444824,0.066851486,0.05158203,0.05158203,-4.276987649,0.050453108,0.025399559,5.428971773,0.004466677,0.045436301,-5.352984294,54022,1.342597036,17,0,0,4.74E-05,0.05158203,1087.917584,10.08735355,-4.902073258,-3.902896563,-4.276987649,1
Q9UK99,FBXO3,FBX3_HUMAN,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; ubiquitin-protein transferase activity [GO:0004842]; proteolysis [GO:0006508],SUBCELLULAR LOCATION: Nucleus. Note=Colocalizes with PML at the peripheries of nuclear bodies.,F-box only protein 3,GO:0004842; GO:0005654; GO:0005829; GO:0006508,1.00E-07,1.00E-07,5.73E-06,0.100964997,0.050399141,0.092630055,0.092630055,-3.432375816,0.081329423,0.040666687,5.399161245,0.004562365,0.045727145,-5.378509042,54561,1.339825916,6,2,0,1.00E-07,0.092630055,926300.5523,19.82112085,-3.308072876,-4.310457042,-3.432375816,1
Q96FV2,SCRN2,SCRN2_HUMAN,extracellular exosome [GO:0070062]; dipeptidase activity [GO:0016805]; exocytosis [GO:0006887],,Secernin-2,GO:0006887; GO:0016805; GO:0070062,0.00015797,0.00022779,0.058805627,0.178381303,0.132973843,0.13297599,0.13297599,-2.910762313,0.128379916,0.083920421,5.397621853,0.004567373,0.045727145,-5.379829959,46597,1.339825916,3,0,0,0.00022779,0.13297599,583.7654648,9.189245054,-2.486963688,-2.910785611,-2.910762313,1
Q9BRX2,PELO,PELO_HUMAN,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; ribosome binding [GO:0043022]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell proliferation [GO:0008283]; chromosome organization [GO:0051276]; endoderm development [GO:0007492]; mesenchymal to epithelial transition [GO:0060231]; nonfunctional rRNA decay [GO:0070651]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; positive regulation of BMP signaling pathway [GO:0030513]; ribosome disassembly [GO:0032790]; RNA surveillance [GO:0071025]; stem cell population maintenance [GO:0019827]; translation [GO:0006412]",SUBCELLULAR LOCATION: Nucleus {ECO:0000305}. Cytoplasm {ECO:0000250}.,Protein pelota homolog (EC 3.1.-.-),GO:0004519; GO:0005634; GO:0005737; GO:0006412; GO:0007049; GO:0007492; GO:0008283; GO:0019827; GO:0030513; GO:0032790; GO:0043022; GO:0046872; GO:0051276; GO:0051301; GO:0060231; GO:0070481; GO:0070651; GO:0070966; GO:0071025,0.002829336,0.022341524,0.005627447,0.132292041,0.115635746,0.072865031,0.115635746,-3.112340656,0.096664837,0.058598521,5.366277383,0.004670795,0.046382839,-5.406786847,43359,1.333642672,4,0,0,0.005627447,0.115635746,20.54852647,4.360963037,-2.918201822,-3.112340656,-3.778629575,1
Q9UJ14,GGT7,GGT7_HUMAN,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; glutathione hydrolase activity [GO:0036374]; hypoglycin A gamma-glutamyl transpeptidase activity [GO:0102953]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; leukotriene D4 biosynthetic process [GO:1901750]; negative regulation of response to oxidative stress [GO:1902883],SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.,Glutathione hydrolase 7 (EC 3.4.19.13) (Gamma-glutamyltransferase 7) (GGT 7) (EC 2.3.2.2) (Gamma-glutamyltransferase-like 3) (Gamma-glutamyltransferase-like 5) (Gamma-glutamyltranspeptidase 7) [Cleaved into: Glutathione hydrolase 7 heavy chain; Glutathione hydrolase 7 light chain],GO:0005886; GO:0006750; GO:0006751; GO:0016021; GO:0036374; GO:0102953; GO:0103068; GO:1901750; GO:1902883,9.65E-05,9.56E-05,0.000125817,0.011076916,0.022179442,0.016430795,0.016430795,-5.927453869,0.016456431,0.008334169,5.333365196,0.004782441,0.046839463,-5.43521756,70467,1.329388088,9,0,0,9.65E-05,0.016430795,170.3126807,7.412042045,-6.496299908,-5.494633106,-5.927453869,1
Q9ULP9,TBC1D24,TBC24_HUMAN,cell junction [GO:0030054]; cytoplasm [GO:0005737]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; terminal bouton [GO:0043195]; GTPase activator activity [GO:0005096]; neuron projection development [GO:0031175],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20727515}. Note=Partially expressed at the plasma membrane.,TBC1 domain family member 24,GO:0005096; GO:0005737; GO:0005886; GO:0030054; GO:0031175; GO:0031594; GO:0043195,7.16E-05,8.76E-05,0.00013915,0.010806108,0.005363833,0.00987482,0.00987482,-6.662029821,0.008582134,0.00439052,5.303192786,0.004887625,0.047381731,-5.461395308,62919,1.324389081,17,0,0,8.76E-05,0.00987482,112.697437,6.816310896,-6.532009152,-7.542519976,-6.662029821,1
