PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2,lamp
P62847,RPS24,RS24_HUMAN,"cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation initiation factor binding [GO:0031369]; erythrocyte homeostasis [GO:0034101]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]",,40S ribosomal protein S24 (Small ribosomal subunit protein eS24),GO:0000184; GO:0000462; GO:0003723; GO:0003735; GO:0005634; GO:0005654; GO:0005829; GO:0006364; GO:0006412; GO:0006413; GO:0006614; GO:0015935; GO:0016020; GO:0022627; GO:0031369; GO:0034101; GO:0042274,0.007645864,0.012643864,0.013475041,0.025019524,0.028183805,0.022002601,0.025019524,-5.320801832,0.013813721,0.018161783,5.629352503,0.003882613,0.042450824,-5.184081851,15423,1.37211388,5,0,0,0.012643864,0.025019524,1.978787865,0.984616957,-5.320801832,-5.148989786,-5.506182116,1
P62937,PPIA,PPIA_HUMAN,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]; vesicle [GO:0031982]; cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]; virion binding [GO:0046790]; entry into host cell [GO:0030260]; establishment of integrated proviral latency [GO:0075713]; fusion of virus membrane with host plasma membrane [GO:0019064]; interleukin-12-mediated signaling pathway [GO:0035722]; leukocyte migration [GO:0050900]; lipid particle organization [GO:0034389]; neutrophil degranulation [GO:0043312]; positive regulation of protein secretion [GO:0050714]; positive regulation of viral genome replication [GO:0045070]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; regulation of viral genome replication [GO:0045069]; RNA-dependent DNA biosynthetic process [GO:0006278]; uncoating of virus [GO:0019061]; viral life cycle [GO:0019058]; viral release from host cell [GO:0019076]; virion assembly [GO:0019068],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16527992}. Secreted {ECO:0000269|PubMed:16527992}. Note=Secretion occurs in response to oxidative stress in vascular smooth muscle through a vesicular secretory pathway that involves actin remodeling and myosin II activation, and mediates ERK1/2 activation.","Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]",GO:0000413; GO:0003723; GO:0003755; GO:0005576; GO:0005615; GO:0005634; GO:0005829; GO:0005925; GO:0006278; GO:0006457; GO:0016018; GO:0016020; GO:0019058; GO:0019061; GO:0019064; GO:0019068; GO:0019076; GO:0030260; GO:0031982; GO:0032991; GO:0034389; GO:0034774; GO:0035722; GO:0043312; GO:0045069; GO:0045070; GO:0046790; GO:0050714; GO:0050900; GO:0051082; GO:0070062; GO:0075713; GO:1904813,5.64E-05,6.96E-06,0.000457536,0.019740733,0.010131903,0.01696285,0.01696285,-5.881477576,0.0154382,0.007892729,5.610968314,0.003932198,0.042802745,-5.199387228,18012,1.368528382,10,0,0,5.64E-05,0.01696285,300.7993234,8.232657512,-5.662680643,-6.624951046,-5.881477576,1
P51148,RAB5C,RAB5C_HUMAN,azurophil granule membrane [GO:0035577]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endocytic vesicle [GO:0030139]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; lipid droplet [GO:0005811]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; plasma membrane [GO:0005886]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; neutrophil degranulation [GO:0043312]; plasma membrane to endosome transport [GO:0048227]; protein transport [GO:0015031]; regulation of endocytosis [GO:0030100],SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Early endosome membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV.,Ras-related protein Rab-5C (L1880) (RAB5L),GO:0003924; GO:0005525; GO:0005765; GO:0005768; GO:0005769; GO:0005811; GO:0005886; GO:0015031; GO:0019003; GO:0030100; GO:0030139; GO:0031901; GO:0035577; GO:0042470; GO:0043312; GO:0048227; GO:0070062,0.000181225,0.000119816,0.000187527,0.05250004,0.072021048,0.037521255,0.05250004,-4.251537668,0.053851259,0.027088485,5.602308721,0.003955819,0.042863046,-5.206609784,23483,1.367916965,6,0,0,0.000181225,0.05250004,289.6957729,8.178394823,-4.251537668,-3.795437589,-4.7361481,1
P62380,TBPL1,TBPL1_HUMAN,"cytoplasm [GO:0005737]; transcription factor TFIIA complex [GO:0005672]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcription coactivator activity [GO:0003713]; transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0001077]; acrosome assembly [GO:0001675]; DNA-templated transcription, initiation [GO:0006352]; dTTP biosynthetic process [GO:0006235]; positive regulation of transcription by RNA polymerase II [GO:0045944]; spermatid nucleus differentiation [GO:0007289]; transcription by RNA polymerase II [GO:0006366]",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.,TATA box-binding protein-like protein 1 (TBP-like protein 1) (21 kDa TBP-like protein) (Second TBP of unique DNA protein) (STUD) (TATA box-binding protein-related factor 2) (TBP-related factor 2) (TBP-like factor) (TBP-related protein),GO:0000978; GO:0000981; GO:0001077; GO:0001675; GO:0003713; GO:0005672; GO:0005737; GO:0006235; GO:0006352; GO:0006366; GO:0007289; GO:0045944,1.00E-07,1.00E-07,1.00E-07,0.081369012,0.094125991,0.047583686,0.081369012,-3.619376709,0.074359463,0.037179832,5.56463513,0.004060593,0.043666678,-5.238130308,20887,1.359849842,4,3,0,1.00E-07,0.081369012,813690.1244,19.63411996,-3.619376709,-3.409263038,-4.393389168,1
P62263,RPS14,RS14_HUMAN,"cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; translation regulator activity [GO:0045182]; erythrocyte differentiation [GO:0030218]; maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit assembly [GO:0000028]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]",,40S ribosomal protein S14 (Small ribosomal subunit protein uS11),GO:0000028; GO:0000122; GO:0000184; GO:0000462; GO:0003723; GO:0003735; GO:0005654; GO:0005730; GO:0005829; GO:0005925; GO:0006364; GO:0006412; GO:0006413; GO:0006614; GO:0016020; GO:0022627; GO:0030218; GO:0030490; GO:0045182; GO:0048027; GO:0070062; GO:0070181,0.004962879,0.000452816,0.000317716,0.0446715,0.026225868,0.029240081,0.029240081,-5.095908894,0.031468013,0.017645143,5.529445862,0.004161494,0.044397236,-5.267718189,16273,1.352644064,7,0,0,0.000452816,0.029240081,64.57386486,6.012878472,-4.484501497,-5.252865685,-5.095908894,1
P78318,IGBP1,IGBP1_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; protein phosphatase 2A binding [GO:0051721]; protein phosphatase regulator activity [GO:0019888]; B cell activation [GO:0042113]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of dephosphorylation [GO:0035303]; regulation of microtubule-based movement [GO:0060632]; response to interleukin-1 [GO:0070555]; response to tumor necrosis factor [GO:0034612]; signal transduction [GO:0007165],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,Immunoglobulin-binding protein 1 (B-cell signal transduction molecule alpha 4) (Protein alpha-4) (CD79a-binding protein 1) (Protein phosphatase 2/4/6 regulatory subunit) (Renal carcinoma antigen NY-REN-16),GO:0000122; GO:0005737; GO:0005829; GO:0007165; GO:0019888; GO:0032873; GO:0034612; GO:0035303; GO:0042113; GO:0043154; GO:0051721; GO:0060632; GO:0070555,0.018672603,0.001277588,0.001082762,0.11158094,0.110019715,0.064225413,0.110019715,-3.184166022,0.088264371,0.05114317,5.528298739,0.004164834,0.044397236,-5.268685099,39222,1.352644064,12,0,0,0.001277588,0.110019715,86.11514565,6.428195091,-3.163837487,-3.184166022,-3.960711919,1
O15020,SPTBN2,SPTN2_HUMAN,apical plasma membrane [GO:0016324]; cell junction [GO:0030054]; cytosol [GO:0005829]; extracellular space [GO:0005615]; neuronal cell body [GO:0043025]; spectrin [GO:0008091]; actin binding [GO:0003779]; cadherin binding [GO:0045296]; phospholipid binding [GO:0005543]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; structural constituent of cytoskeleton [GO:0005200]; actin filament capping [GO:0051693]; adult behavior [GO:0030534]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; axon guidance [GO:0007411]; cerebellar Purkinje cell layer morphogenesis [GO:0021692]; ER to Golgi vesicle-mediated transport [GO:0006888]; MAPK cascade [GO:0000165]; multicellular organism growth [GO:0035264]; synapse assembly [GO:0007416]; vesicle-mediated transport [GO:0016192],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cell cortex.","Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)",GO:0000165; GO:0003779; GO:0005088; GO:0005200; GO:0005543; GO:0005615; GO:0005829; GO:0006888; GO:0007411; GO:0007416; GO:0008091; GO:0016192; GO:0016324; GO:0019886; GO:0021692; GO:0030054; GO:0030534; GO:0035264; GO:0043025; GO:0045296; GO:0051693,1.00E-07,0.000105988,1.00E-07,0.032376324,0.041548847,0.020998117,0.032376324,-4.948917012,0.0316057,0.015838246,5.524917031,0.004174699,0.044407699,-5.271536419,271325,1.352541731,70,2,0,1.00E-07,0.032376324,323763.2368,18.30457965,-4.948917012,-4.58904775,-5.573596223,1
Q8NBJ7,SUMF2,SUMF2_HUMAN,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; metal ion binding [GO:0046872]; post-translational protein modification [GO:0043687],"SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:15708861, ECO:0000269|PubMed:15962010, ECO:0000269|PubMed:18266766}.",Inactive C-alpha-formylglycine-generating enzyme 2 (Paralog of formylglycine-generating enzyme) (pFGE) (Sulfatase-modifying factor 2),GO:0005783; GO:0005788; GO:0043687; GO:0046872,0.008101084,0.003972441,0.002044803,0.087035422,0.09388729,0.050386563,0.087035422,-3.522253523,0.072396982,0.0409046,5.52263236,0.004181379,0.044407699,-5.273463505,33843,1.352541731,7,0,0,0.003972441,0.087035422,21.90980686,4.453504861,-3.522253523,-3.412926329,-4.310817144,1
Q12923,PTPN13,PTN13_HUMAN,cell body [GO:0044297]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular exosome [GO:0070062]; lamellipodium [GO:0030027]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; phosphatidylinositol 3-kinase regulatory subunit binding [GO:0036312]; protein tyrosine phosphatase activity [GO:0004725]; cellular response to cytokine stimulus [GO:0071345]; peptidyl-tyrosine dephosphorylation [GO:0035335]; phosphatidylinositol biosynthetic process [GO:0006661]; protein dephosphorylation [GO:0006470]; regulation of phosphatidylinositol 3-kinase signaling [GO:0014066],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11356191}. Nucleus {ECO:0000269|PubMed:10826496, ECO:0000269|PubMed:11356191}. Cell projection, lamellipodium {ECO:0000269|PubMed:11356191}. Note=Colocalizes with F-actin (PubMed:10826496). Colocalizes with PKN2 in lamellipodia-like structure, regions of large actin turnover (PubMed:11356191). {ECO:0000269|PubMed:10826496, ECO:0000269|PubMed:11356191}.",Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48) (Fas-associated protein-tyrosine phosphatase 1) (FAP-1) (PTP-BAS) (Protein-tyrosine phosphatase 1E) (PTP-E1) (hPTPE1) (Protein-tyrosine phosphatase PTPL1),GO:0004725; GO:0005634; GO:0005654; GO:0005737; GO:0005856; GO:0005886; GO:0006470; GO:0006661; GO:0014066; GO:0030027; GO:0035335; GO:0036312; GO:0043005; GO:0044297; GO:0070062; GO:0071345,6.00E-05,8.89E-05,5.61E-05,0.024341546,0.012248023,0.019398672,0.019398672,-5.687898279,0.018594405,0.009365544,5.503265167,0.00423853,0.044651949,-5.289823559,276906,1.350159576,7,0,0,6.00E-05,0.019398672,323.5215992,8.337718224,-5.360435397,-6.351307349,-5.687898279,1
O96000,NDUFB10,NDUBA_HUMAN,"mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]",SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Peripheral membrane protein {ECO:0000305}; Matrix side {ECO:0000305}.,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 (Complex I-PDSW) (CI-PDSW) (NADH-ubiquinone oxidoreductase PDSW subunit),GO:0005743; GO:0005747; GO:0006120; GO:0008137; GO:0032981,1.00E-07,0.000184671,1.00E-07,0.026231719,0.013165143,0.022922774,0.022922774,-5.447074558,0.020711588,0.010417418,5.485928249,0.004290489,0.044898026,-5.30450527,20777,1.34777275,6,2,0,1.00E-07,0.022922774,229227.7384,17.80642211,-5.252543821,-6.247133035,-5.447074558,1
Q13315,ATM,ATM_HUMAN,"cytoplasmic vesicle [GO:0031410]; DNA repair complex [GO:1990391]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; 1-phosphatidylinositol-3-kinase activity [GO:0016303]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-dependent protein kinase activity [GO:0004677]; protein dimerization activity [GO:0046983]; protein N-terminus binding [GO:0047485]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; brain development [GO:0007420]; cell cycle arrest [GO:0007050]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to gamma radiation [GO:0071480]; cellular response to nitrosative stress [GO:0071500]; cellular response to X-ray [GO:0071481]; determination of adult lifespan [GO:0008340]; DNA damage induced protein phosphorylation [GO:0006975]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; DNA double-strand break processing [GO:0000729]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; establishment of protein-containing complex localization to telomere [GO:0097695]; establishment of RNA localization to telomere [GO:0097694]; female meiotic nuclear division [GO:0007143]; heart development [GO:0007507]; histone mRNA catabolic process [GO:0071044]; histone phosphorylation [GO:0016572]; immunoglobulin production [GO:0002377]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; lipoprotein catabolic process [GO:0042159]; male meiotic nuclear division [GO:0007140]; meiotic telomere clustering [GO:0045141]; mitotic spindle assembly checkpoint [GO:0007094]; multicellular organism growth [GO:0035264]; negative regulation of B cell proliferation [GO:0030889]; negative regulation of telomere capping [GO:1904354]; negative regulation of TORC1 signaling [GO:1904262]; neuron apoptotic process [GO:0051402]; oocyte development [GO:0048599]; ovarian follicle development [GO:0001541]; peptidyl-serine autophosphorylation [GO:0036289]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA catabolic process [GO:1903626]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; positive regulation of histone phosphorylation [GO:0033129]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of telomerase catalytic core complex assembly [GO:1904884]; positive regulation of telomere maintenance via telomerase [GO:0032212]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; post-embryonic development [GO:0009791]; pre-B cell allelic exclusion [GO:0002331]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; reciprocal meiotic recombination [GO:0007131]; regulation of apoptotic process [GO:0042981]; regulation of autophagy [GO:0010506]; regulation of cellular response to gamma radiation [GO:1905843]; regulation of cellular response to heat [GO:1900034]; regulation of microglial cell activation [GO:1903978]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of telomere maintenance via telomerase [GO:0032210]; replicative senescence [GO:0090399]; response to hypoxia [GO:0001666]; response to ionizing radiation [GO:0010212]; signal transduction [GO:0007165]; signal transduction involved in mitotic G2 DNA damage checkpoint [GO:0072434]; somitogenesis [GO:0001756]; telomere maintenance [GO:0000723]; thymus development [GO:0048538]; V(D)J recombination [GO:0033151]","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9050866, ECO:0000269|PubMed:9150358}. Cytoplasmic vesicle {ECO:0000269|PubMed:9050866, ECO:0000269|PubMed:9150358}. Note=Primarily nuclear. Found also in endocytic vesicles in association with beta-adaptin. {ECO:0000269|PubMed:9050866, ECO:0000269|PubMed:9150358}.",Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated),GO:0000723; GO:0000724; GO:0000729; GO:0001541; GO:0001666; GO:0001756; GO:0002331; GO:0002377; GO:0003677; GO:0004674; GO:0004677; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005819; GO:0006260; GO:0006281; GO:0006303; GO:0006468; GO:0006974; GO:0006975; GO:0006977; GO:0007050; GO:0007094; GO:0007131; GO:0007140; GO:0007143; GO:0007165; GO:0007420; GO:0007507; GO:0008340; GO:0008630; GO:0009791; GO:0010212; GO:0010506; GO:0016303; GO:0016572; GO:0018105; GO:0030889; GO:0031410; GO:0032210; GO:0032212; GO:0033129; GO:0033151; GO:0035264; GO:0036289; GO:0042159; GO:0042981; GO:0043065; GO:0043517; GO:0043525; GO:0044877; GO:0045141; GO:0046777; GO:0046983; GO:0047485; GO:0048538; GO:0048599; GO:0051402; GO:0071044; GO:0071480; GO:0071481; GO:0071500; GO:0072434; GO:0090399; GO:0097694; GO:0097695; GO:1900034; GO:1901796; GO:1903626; GO:1903978; GO:1904262; GO:1904354; GO:1904358; GO:1904884; GO:1905843; GO:1990391,0.000103752,9.52E-05,0.000105778,0.028308172,0.014625062,0.019888768,0.019888768,-5.651902313,0.020839083,0.010521126,5.433523641,0.00445228,0.045436301,-5.349096015,350687,1.342597036,31,0,0,0.000103752,0.019888768,191.6952648,7.582670891,-5.142637596,-6.095413455,-5.651902313,1
P16949,STMN1,STMN1_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intracellular [GO:0005622]; membrane [GO:0016020]; microtubule [GO:0005874]; neuron projection [GO:0043005]; tubulin binding [GO:0015631]; axonogenesis [GO:0007409]; brain development [GO:0007420]; establishment of skin barrier [GO:0061436]; hepatocyte growth factor receptor signaling pathway [GO:0048012]; intracellular signal transduction [GO:0035556]; microtubule depolymerization [GO:0007019]; mitotic cytokinesis [GO:0000281]; mitotic spindle organization [GO:0007052]; negative regulation of guanyl-nucleotide exchange factor activity [GO:1905098]; negative regulation of microtubule polymerization [GO:0031115]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of stress fiber assembly [GO:0051497]; negative regulation of thrombin-activated receptor signaling pathway [GO:0070495]; neuron projection development [GO:0031175]; positive regulation of cellular component movement [GO:0051272]; regulation of microtubule polymerization or depolymerization [GO:0031110]; response to virus [GO:0009615]; signal transduction [GO:0007165],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Prosolin) (Protein Pr22) (pp17),GO:0000281; GO:0005622; GO:0005737; GO:0005829; GO:0005874; GO:0007019; GO:0007052; GO:0007165; GO:0007409; GO:0007420; GO:0009615; GO:0015631; GO:0016020; GO:0031110; GO:0031115; GO:0031175; GO:0035024; GO:0035556; GO:0043005; GO:0048012; GO:0051272; GO:0051497; GO:0061436; GO:0070062; GO:0070495; GO:1905098,0.001056235,0.001605501,0.000904581,0.027128795,0.02777545,0.014815583,0.027128795,-5.204031202,0.022051171,0.012214357,5.427049575,0.004472774,0.045436301,-5.354626995,17303,1.342597036,8,0,0,0.001056235,0.027128795,25.68443241,4.682822287,-5.204031202,-5.17004592,-6.076740791,1
Q14669,TRIP12,TRIPC_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; thyroid hormone receptor binding [GO:0046966]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; negative regulation of double-strand break repair [GO:2000780]; negative regulation of histone H2A K63-linked ubiquitination [GO:1901315]; protein polyubiquitination [GO:0000209]; regulation of embryonic development [GO:0045995]; ubiquitin-dependent protein catabolic process [GO:0006511],"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:20208519}.",E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (E3 ubiquitin-protein ligase for Arf) (ULF) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12),GO:0000209; GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006281; GO:0006511; GO:0006974; GO:0016607; GO:0045995; GO:0046966; GO:0061630; GO:1901315; GO:2000780,1.00E-07,8.65E-05,1.00E-07,0.064707921,0.10217645,0.055771623,0.064707921,-3.949913857,0.074189753,0.037123788,5.423140795,0.004485202,0.045436301,-5.357968755,220434,1.342597036,26,2,0,1.00E-07,0.064707921,647079.2133,19.30358281,-3.949913857,-3.290865381,-4.164324929,1
Q96NI6,LRFN5,LRFN5_HUMAN,cell surface [GO:0009986]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021],SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000305}.,Leucine-rich repeat and fibronectin type-III domain-containing protein 5,GO:0005615; GO:0009986; GO:0016021,3.77E-05,3.03E-05,3.01E-05,0.056356576,0.061709286,0.100718899,0.061709286,-4.018368581,0.072895558,0.036480475,5.417714222,0.004502526,0.045503685,-5.362611105,79445,1.341953436,8,0,0,3.03E-05,0.061709286,2035.970892,10.99150122,-4.14927224,-4.018368581,-3.311593677,1
Q8TB52,FBXO30,FBX30_HUMAN,cytosol [GO:0005829]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; post-translational protein modification [GO:0043687]; protein polyubiquitination [GO:0000209],,F-box only protein 30,GO:0000209; GO:0004842; GO:0005829; GO:0008270; GO:0043687; GO:0061630,0.038960362,0.077052518,0.051779233,0.110627684,0.131741027,0.125314273,0.125314273,-2.996377349,0.06663029,0.08924585,5.401884834,0.004553521,0.045727145,-5.376172676,82304,1.339825916,9,0,0,0.051779233,0.125314273,2.420164714,1.275105239,-3.176215642,-2.924223389,-2.996377349,1
O75376,NCOR1,NCOR1_HUMAN,"cytosol [GO:0005829]; membrane [GO:0016020]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle microtubule [GO:0005876]; transcriptional repressor complex [GO:0017053]; histone deacetylase binding [GO:0042826]; ligand-dependent nuclear receptor binding [GO:0016922]; nuclear hormone receptor binding [GO:0035257]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; thyroid hormone receptor binding [GO:0046966]; transcription corepressor activity [GO:0003714]; transcription regulatory region DNA binding [GO:0044212]; chromatin organization [GO:0006325]; circadian rhythm [GO:0007623]; negative regulation of JNK cascade [GO:0046329]; negative regulation of production of miRNAs involved in gene silencing by miRNA [GO:1903799]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of fatty acid transport [GO:2000191]; regulation of glycolytic process by negative regulation of transcription from RNA polymerase II promoter [GO:0072362]; regulation of lipid metabolic process [GO:0019216]; regulation of lipid transport by negative regulation of transcription from RNA polymerase II promoter [GO:0072368]; spindle assembly [GO:0051225]; transcription by RNA polymerase II [GO:0006366]",SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00624}.,Nuclear receptor corepressor 1 (N-CoR) (N-CoR1),GO:0000122; GO:0000790; GO:0000981; GO:0001102; GO:0003714; GO:0005634; GO:0005654; GO:0005829; GO:0005876; GO:0006325; GO:0006366; GO:0007623; GO:0016020; GO:0016922; GO:0017053; GO:0019216; GO:0035257; GO:0042826; GO:0044212; GO:0046329; GO:0046966; GO:0051225; GO:0072362; GO:0072368; GO:1903799; GO:2000191,0.054698829,0.03367256,0.060737413,0.208050005,0.325454338,0.367950948,0.325454338,-1.61947295,0.250782163,0.175094015,5.37110631,0.00465468,0.046358433,-5.402626289,270210,1.333871257,19,0,0,0.054698829,0.325454338,5.949932429,2.572873284,-2.264997775,-1.61947295,-1.442414645,1
