PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2
Q9H1D9,POLR3F,RPC6_HUMAN,cytosol [GO:0005829]; DNA-directed RNA polymerase III complex [GO:0005666]; nucleoplasm [GO:0005654]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; double-stranded DNA binding [GO:0003690]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; positive regulation of innate immune response [GO:0045089]; positive regulation of interferon-beta production [GO:0032728]; regulation of transcription by RNA polymerase III [GO:0006359]; transcription by RNA polymerase III [GO:0006383],SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.,DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6) (DNA-directed RNA polymerase III subunit F) (RNA polymerase III 39 kDa subunit) (RPC39),GO:0003690; GO:0003899; GO:0005654; GO:0005666; GO:0005829; GO:0006359; GO:0006383; GO:0032728; GO:0045087; GO:0045089; GO:0051607,0.001525292,6.95E-06,2.65E-05,0.070296241,0.047620195,0.0761297,0.070296241,-3.830408649,0.064162466,0.032600812,7.654315058,0.001141988,0.021022407,-3.700418174,35684,1.677317569,4,0,0,2.65E-05,0.070296241,2653.399462,11.37362617,-3.830408649,-4.392282659,-3.715396802
Q9BRQ0,PYGO2,PYGO2_HUMAN,beta-catenin-TCF complex [GO:1990907]; nucleoplasm [GO:0005654]; chromatin binding [GO:0003682]; histone acetyltransferase regulator activity [GO:0035034]; histone binding [GO:0042393]; metal ion binding [GO:0046872]; beta-catenin-TCF complex assembly [GO:1904837]; brain development [GO:0007420]; canonical Wnt signaling pathway [GO:0060070]; developmental growth [GO:0048589]; in utero embryonic development [GO:0001701]; kidney development [GO:0001822]; lens development in camera-type eye [GO:0002088]; mammary gland development [GO:0030879]; positive regulation of chromatin binding [GO:0035563]; post-embryonic development [GO:0009791]; regulation of histone H3-K4 methylation [GO:0051569]; regulation of mammary gland epithelial cell proliferation [GO:0033599]; roof of mouth development [GO:0060021]; spermatid nucleus differentiation [GO:0007289],SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,Pygopus homolog 2,GO:0001701; GO:0001822; GO:0002088; GO:0003682; GO:0005654; GO:0007289; GO:0007420; GO:0009791; GO:0030879; GO:0033599; GO:0035034; GO:0035563; GO:0042393; GO:0046872; GO:0048589; GO:0051569; GO:0060021; GO:0060070; GO:1904837; GO:1990907,0.010498824,0.005860898,0.030201618,0.160962351,0.151607842,0.217498502,0.160962351,-2.635204809,0.161169118,0.096105006,7.649402001,0.001144975,0.021032164,-3.703598507,41244,1.677116044,3,0,0,0.010498824,0.160962351,15.33146455,3.938423613,-2.635204809,-2.72158372,-2.200922633
O00233,PSMD9,PSMD9_HUMAN,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome regulatory particle [GO:0005838]; bHLH transcription factor binding [GO:0043425]; transcription coactivator activity [GO:0003713]; negative regulation of insulin secretion [GO:0046676]; positive regulation of insulin secretion [GO:0032024]; positive regulation of transcription, DNA-templated [GO:0045893]; post-translational protein modification [GO:0043687]; proteasome regulatory particle assembly [GO:0070682]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]",NA,26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27),GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005838; GO:0006511; GO:0016579; GO:0032024; GO:0043425; GO:0043687; GO:0045893; GO:0046676; GO:0070682,1.00E-07,1.00E-07,0.000253411,0.073389342,0.074753156,0.047489065,0.073389342,-3.768285635,0.065125984,0.032647529,7.629292883,0.001157301,0.021213053,-3.716633985,24682,1.673396819,4,2,0,1.00E-07,0.073389342,733893.4164,19.48521103,-3.768285635,-3.741721708,-4.396260837
Q5SQI0,ATAT1,ATAT_HUMAN,"axon [GO:0030424]; clathrin-coated pit [GO:0005905]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; microtubule bundle [GO:0097427]; mitotic spindle [GO:0072686]; coenzyme binding [GO:0050662]; lysine N-acetyltransferase activity, acting on acetyl phosphate as donor [GO:0004468]; tubulin N-acetyltransferase activity [GO:0019799]; alpha-tubulin acetylation [GO:0071929]; cilium assembly [GO:0060271]; dentate gyrus development [GO:0021542]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; regulation of fat cell differentiation [GO:0045598]; regulation of microtubule cytoskeleton organization [GO:0070507]; spermatogenesis [GO:0007283]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03130, ECO:0000269|PubMed:24097348}. Membrane, clathrin-coated pit {ECO:0000255|HAMAP-Rule:MF_03130, ECO:0000269|PubMed:24097348}. Cell junction, focal adhesion {ECO:0000255|HAMAP-Rule:MF_03130, ECO:0000269|PubMed:24097348}. Cell projection, axon {ECO:0000255|HAMAP-Rule:MF_03130}. Cytoplasm, cytoskeleton {ECO:0000255|HAMAP-Rule:MF_03130}. Cytoplasm, cytoskeleton, spindle {ECO:0000255|HAMAP-Rule:MF_03130}.",Alpha-tubulin N-acetyltransferase 1 (Alpha-TAT) (Alpha-TAT1) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog),GO:0004468; GO:0005794; GO:0005829; GO:0005874; GO:0005905; GO:0005925; GO:0007283; GO:0019799; GO:0021542; GO:0030424; GO:0045598; GO:0050662; GO:0060271; GO:0070507; GO:0071929; GO:0072686; GO:0097427; GO:1900227,0.00046561,1.00E-07,1.00E-07,0.017780397,0.01708521,0.0112225,0.01708521,-5.87110823,0.015207433,0.007758986,7.574064214,0.001191993,0.021755782,-3.752588166,46810,1.6624253,15,2,0,1.00E-07,0.01708521,170852.0976,17.38238843,-5.813568631,-5.87110823,-6.47746206
Q9ULU8,CADPS,CAPS1_HUMAN,cell junction [GO:0030054]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; presynapse [GO:0098793]; lipid binding [GO:0008289]; metal ion binding [GO:0046872]; protein kinase binding [GO:0019901]; catecholamine secretion [GO:0050432]; exocytosis [GO:0006887]; presynaptic dense core vesicle exocytosis [GO:0099525]; protein transport [GO:0015031]; synaptic vesicle priming [GO:0016082]; vesicle organization [GO:0016050],"SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cell junction, synapse {ECO:0000250}. Note=Membrane-associated to vesicles. Strongly enriched in synaptic fractions. Preferentially binds to DCVs but not to SVs. Binds phosphoinosides, with a strong selectivity for PtdIns(4,5)P2 over PtdIns(3,4,5)P3. Probably localizes to different vesicles compared to CADPS2 (By similarity). {ECO:0000250}.",Calcium-dependent secretion activator 1 (Calcium-dependent activator protein for secretion 1) (CAPS-1),GO:0005829; GO:0006887; GO:0008289; GO:0015031; GO:0016050; GO:0016082; GO:0019901; GO:0030054; GO:0030659; GO:0046872; GO:0050432; GO:0098793; GO:0099525,2.82E-05,2.13E-05,0.00022174,0.009447776,0.008347555,0.005841309,0.008347555,-6.90443066,0.007788496,0.003984632,7.559214298,0.001201536,0.021883301,-3.762294027,152786,1.659887163,34,0,0,2.82E-05,0.008347555,296.4730632,8.211757221,-6.725809539,-6.90443066,-7.419492483
Q9BYD1,MRPL13,RM13_HUMAN,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; mitochondrial translational elongation [GO:0070125]; mitochondrial translational termination [GO:0070126]; translation [GO:0006412],"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379}.","39S ribosomal protein L13, mitochondrial (L13mt) (MRP-L13) (Mitochondrial large ribosomal subunit protein uL13m)",GO:0003723; GO:0003729; GO:0003735; GO:0005743; GO:0005761; GO:0005762; GO:0006412; GO:0070125; GO:0070126,1.19E-05,0.001741384,2.12E-05,0.022171885,0.029527492,0.035604781,0.029527492,-5.081797369,0.028509879,0.014846446,7.545121105,0.001210679,0.021960323,-3.771520465,20692,1.658361276,6,0,0,2.12E-05,0.029527492,1392.080516,10.44302694,-5.49512477,-5.081797369,-4.81178522
Q7Z5N4,SDK1,SDK1_HUMAN,cell junction [GO:0030054]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; synapse [GO:0045202]; identical protein binding [GO:0042802]; behavioral response to cocaine [GO:0048148]; cell-cell junction organization [GO:0045216]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; regulation of dendritic spine development [GO:0060998]; retina layer formation [GO:0010842]; synapse assembly [GO:0007416],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8AV58}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q8AV58}. Cell junction, synapse {ECO:0000250|UniProtKB:Q8AV58}.",Protein sidekick-1,GO:0005886; GO:0007156; GO:0007416; GO:0010842; GO:0016021; GO:0030054; GO:0042802; GO:0045202; GO:0045216; GO:0048148; GO:0060998,3.97E-05,4.36E-05,4.38E-05,0.078364573,0.127350822,0.102337643,0.102337643,-3.28859119,0.102641972,0.051363359,7.541562255,0.001213002,0.021960323,-3.773852691,242112,1.658361276,8,0,0,4.36E-05,0.102337643,2349.044286,11.1978582,-3.673654606,-2.973119828,-3.28859119
Q9BTC8,MTA3,MTA3_HUMAN,"cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; histone deacetylase activity [GO:0004407]; protein-containing complex binding [GO:0044877]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of cell proliferation [GO:0008284]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00512, ECO:0000255|PROSITE-ProRule:PRU00624, ECO:0000269|PubMed:12705869}.",Metastasis-associated protein MTA3,GO:0000981; GO:0003682; GO:0004407; GO:0005634; GO:0005654; GO:0005737; GO:0008270; GO:0008284; GO:0010971; GO:0043231; GO:0043565; GO:0044877; GO:0045892,0.004885753,0.015633444,0.002540867,0.085180486,0.081341738,0.058413134,0.081341738,-3.619860368,0.067291765,0.04133257,7.536469996,0.001216334,0.021960323,-3.777191452,67504,1.658361276,3,0,0,0.004885753,0.081341738,16.64876281,4.057343068,-3.553333225,-3.619860368,-4.097563399
Q68D91,MBLAC2,MBLC2_HUMAN,extracellular exosome [GO:0070062]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872],NA,Metallo-beta-lactamase domain-containing protein 2 (EC 3.-.-.-),GO:0016787; GO:0046872; GO:0070062,1.00E-07,1.00E-07,1.00E-07,0.058815931,0.05980444,0.037764522,0.058815931,-4.0876492,0.052128198,0.026064199,7.535887664,0.001216716,0.021960323,-3.777573383,31372,1.658361276,7,3,0,1.00E-07,0.058815931,588159.3144,19.16584746,-4.0876492,-4.063603586,-4.72682465
Q92574,TSC1,TSC1_HUMAN,cell cortex [GO:0005938]; chaperone complex [GO:0101031]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; lipid droplet [GO:0005811]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; TSC1-TSC2 complex [GO:0033596]; ATPase inhibitor activity [GO:0042030]; chaperone binding [GO:0051087]; GTPase activating protein binding [GO:0032794]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; protein N-terminus binding [GO:0047485]; activation of GTPase activity [GO:0090630]; adaptive immune response [GO:0002250]; adult locomotory behavior [GO:0008344]; cardiac muscle cell differentiation [GO:0055007]; cell projection organization [GO:0030030]; cell-matrix adhesion [GO:0007160]; cellular response to oxygen-glucose deprivation [GO:0090650]; cerebral cortex development [GO:0021987]; glucose import [GO:0046323]; hippocampus development [GO:0021766]; kidney development [GO:0001822]; memory T cell differentiation [GO:0043379]; myelination [GO:0042552]; negative regulation of ATPase activity [GO:0032780]; negative regulation of cell proliferation [GO:0008285]; negative regulation of cell size [GO:0045792]; negative regulation of GTPase activity [GO:0034260]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of macroautophagy [GO:0016242]; negative regulation of neuron projection development [GO:0010977]; negative regulation of oxidative stress-induced neuron death [GO:1903204]; negative regulation of TOR signaling [GO:0032007]; negative regulation of translation [GO:0017148]; neural tube closure [GO:0001843]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of macroautophagy [GO:0016239]; positive regulation of stress fiber assembly [GO:0051496]; potassium ion transport [GO:0006813]; protein heterooligomerization [GO:0051291]; protein stabilization [GO:0050821]; regulation of cell cycle [GO:0051726]; regulation of cell-matrix adhesion [GO:0001952]; regulation of neuron death [GO:1901214]; regulation of phosphoprotein phosphatase activity [GO:0043666]; regulation of protein kinase activity [GO:0045859]; regulation of stress fiber assembly [GO:0051492]; regulation of translation [GO:0006417]; response to insulin [GO:0032868]; rRNA export from nucleus [GO:0006407]; synapse organization [GO:0050808],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9809973}. Membrane {ECO:0000269|PubMed:9809973}; Peripheral membrane protein {ECO:0000269|PubMed:9809973}. Note=At steady state found in association with membranes. {ECO:0000269|PubMed:9809973}.,Hamartin (Tuberous sclerosis 1 protein),GO:0001822; GO:0001843; GO:0001952; GO:0002250; GO:0005634; GO:0005737; GO:0005811; GO:0005829; GO:0005856; GO:0005886; GO:0005938; GO:0006407; GO:0006417; GO:0006813; GO:0007160; GO:0008285; GO:0008344; GO:0010977; GO:0016020; GO:0016239; GO:0016242; GO:0017148; GO:0021766; GO:0021987; GO:0030027; GO:0030030; GO:0030426; GO:0030544; GO:0032007; GO:0032780; GO:0032794; GO:0032868; GO:0032991; GO:0033596; GO:0034260; GO:0042030; GO:0042552; GO:0043379; GO:0043666; GO:0045792; GO:0045859; GO:0046323; GO:0046627; GO:0047485; GO:0048471; GO:0050808; GO:0050821; GO:0051087; GO:0051291; GO:0051492; GO:0051496; GO:0051726; GO:0051879; GO:0051894; GO:0055007; GO:0090630; GO:0090650; GO:0101031; GO:1901214; GO:1903204,0.000245918,1.00E-07,1.00E-07,0.055010607,0.041354055,0.034578904,0.041354055,-4.5958274,0.043565816,0.021864947,7.533027673,0.001218593,0.021960323,-3.779449523,129767,1.658361276,13,2,0,1.00E-07,0.041354055,413540.5468,18.65766926,-4.184146376,-4.5958274,-4.853964044
Q9UGN5,PARP2,PARP2_HUMAN,cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; protein ADP-ribosylase activity [GO:1990404]; base-excision repair [GO:0006284]; DNA ligation involved in DNA repair [GO:0051103]; DNA repair [GO:0006281]; extrinsic apoptotic signaling pathway [GO:0097191]; lagging strand elongation [GO:0006273]; negative regulation of neuron death [GO:1901215]; peptidyl-serine ADP-ribosylation [GO:0018312]; positive regulation of cell growth involved in cardiac muscle cell development [GO:0061051]; protein ADP-ribosylation [GO:0006471],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10364231}.,Poly [ADP-ribose] polymerase 2 (PARP-2) (hPARP-2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 2) (ARTD2) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (pADPRT-2),GO:0003677; GO:0003910; GO:0003950; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006273; GO:0006281; GO:0006284; GO:0006471; GO:0018312; GO:0051103; GO:0061051; GO:0097191; GO:1901215; GO:1990404,0.030278743,0.021482088,0.056309299,0.165599551,0.186775341,0.23093495,0.186775341,-2.420624096,0.158413238,0.115229995,7.515335867,0.001230283,0.022070122,-3.791068868,66206,1.656195265,5,0,0,0.030278743,0.186775341,6.168530305,2.624926798,-2.594229331,-2.420624096,-2.114441565
P06576,ATP5F1B,ATPB_HUMAN,"cell surface [GO:0009986]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial nucleoid [GO:0042645]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]; angiostatin binding [GO:0043532]; ATP binding [GO:0005524]; MHC class I protein binding [GO:0042288]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; transmembrane transporter activity [GO:0022857]; transporter activity [GO:0005215]; angiogenesis [GO:0001525]; ATP biosynthetic process [GO:0006754]; cristae formation [GO:0042407]; generation of precursor metabolites and energy [GO:0006091]; lipid metabolic process [GO:0006629]; mitochondrial ATP synthesis coupled proton transport [GO:0042776]; mitochondrion organization [GO:0007005]; negative regulation of cell adhesion involved in substrate-bound cell migration [GO:0006933]; osteoblast differentiation [GO:0001649]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; proton transmembrane transport [GO:1902600]; regulation of intracellular pH [GO:0051453]",SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P00829}; Peripheral membrane protein {ECO:0000250|UniProtKB:P00829}; Matrix side {ECO:0000250|UniProtKB:P00829}.,"ATP synthase subunit beta, mitochondrial (EC 3.6.3.14) (ATP synthase F1 subunit beta)",GO:0001525; GO:0001649; GO:0005215; GO:0005524; GO:0005634; GO:0005739; GO:0005753; GO:0005754; GO:0005759; GO:0005886; GO:0006091; GO:0006629; GO:0006754; GO:0006933; GO:0007005; GO:0009986; GO:0016020; GO:0022857; GO:0031966; GO:0042288; GO:0042407; GO:0042645; GO:0042776; GO:0043209; GO:0043532; GO:0043536; GO:0045259; GO:0046933; GO:0046961; GO:0051453; GO:0070062; GO:1902600,1.00E-07,1.00E-07,1.00E-07,0.024340123,0.024609061,0.015554733,0.024340123,-5.360519746,0.021501206,0.010750703,7.510311231,0.001233628,0.022070122,-3.794373149,56560,1.656195265,21,3,0,1.00E-07,0.024340123,243401.2275,17.89297692,-5.360519746,-5.344666577,-6.006502535
Q9H6K5,PRR36,PRR36_HUMAN,NA,NA,Proline-rich protein 36,NA,4.97E-05,0.00390911,4.98E-05,0.047533221,0.030684385,0.046211552,0.046211552,-4.435602644,0.040140195,0.021406288,7.50088226,0.001239935,0.022070122,-3.800578912,132748,1.656195265,12,0,0,4.98E-05,0.046211552,928.2658952,9.858394304,-4.394920033,-5.026351535,-4.435602644
P63096,GNAI1,GNAI1_HUMAN,cell cortex region [GO:0099738]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; heterotrimeric G-protein complex [GO:0005834]; lysosomal membrane [GO:0005765]; membrane raft [GO:0045121]; midbody [GO:0030496]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; G-protein beta/gamma-subunit complex binding [GO:0031683]; G-protein coupled receptor binding [GO:0001664]; G-protein coupled serotonin receptor binding [GO:0031821]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activating protein binding [GO:0032794]; GTPase activity [GO:0003924]; magnesium ion binding [GO:0000287]; adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway [GO:0007193]; adenylate cyclase-modulating G-protein coupled receptor signaling pathway [GO:0007188]; cell cycle [GO:0007049]; cell division [GO:0051301]; cellular response to forskolin [GO:1904322]; G-protein coupled receptor signaling pathway [GO:0007186]; negative regulation of synaptic transmission [GO:0050805]; positive regulation of protein localization to cell cortex [GO:1904778]; protein folding [GO:0006457]; regulation of cAMP-mediated signaling [GO:0043949]; regulation of mitotic spindle organization [GO:0060236]; response to peptide hormone [GO:0043434],"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P10824}. Cytoplasm {ECO:0000269|PubMed:17635935}. Cell membrane {ECO:0000269|PubMed:17635935, ECO:0000269|PubMed:26766442}; Peripheral membrane protein {ECO:0000250|UniProtKB:P10824}; Cytoplasmic side {ECO:0000250|UniProtKB:P10824}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:17635935}. Cytoplasm, cell cortex {ECO:0000269|PubMed:22327364}. Membrane {ECO:0000250|UniProtKB:P63096}; Lipid-anchor {ECO:0000250|UniProtKB:P63096}. Note=Localizes in the centrosomes of interphase and mitotic cells, but not in centrosomes during cytokinesis. Detected at the cleavage furrow or the midbody (PubMed:17635935). Localized at the plasma membrane throughout mitosis. Colocalizes with RIC8A and RGS14 at the plasma membrane. {ECO:0000250|UniProtKB:P10824, ECO:0000269|PubMed:17635935}.",Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein),GO:0000287; GO:0001664; GO:0003924; GO:0005525; GO:0005634; GO:0005730; GO:0005737; GO:0005765; GO:0005813; GO:0005834; GO:0005886; GO:0006457; GO:0007049; GO:0007186; GO:0007188; GO:0007193; GO:0019003; GO:0030496; GO:0031683; GO:0031821; GO:0032794; GO:0043434; GO:0043949; GO:0045121; GO:0050805; GO:0051301; GO:0060236; GO:0070062; GO:0099738; GO:1904322; GO:1904778,1.00E-07,1.00E-07,1.00E-07,0.069526209,0.076577888,0.046999743,0.069526209,-3.846299268,0.064367847,0.032184023,7.498526386,0.001241517,0.022070122,-3.802130497,40361,1.656195265,3,3,0,1.00E-07,0.069526209,695262.0877,19.4071974,-3.846299268,-3.706928318,-4.411203321
Q969R2,OSBP2,OSBP2_HUMAN,apical dendrite [GO:0097440]; membrane [GO:0016020]; cholesterol binding [GO:0015485]; lipid transport [GO:0006869]; spermatid development [GO:0007286],SUBCELLULAR LOCATION: Membrane; Peripheral membrane protein.,Oxysterol-binding protein 2 (Oxysterol-binding protein-related protein 4) (ORP-4) (OSBP-related protein 4),GO:0006869; GO:0007286; GO:0015485; GO:0016020; GO:0097440,1.00E-07,1.00E-07,1.00E-07,0.016462768,0.020637143,0.012677692,0.016462768,-5.924649272,0.016592434,0.008296317,7.498477978,0.001241549,0.022070122,-3.802162383,101266,1.656195265,4,3,0,1.00E-07,0.016462768,164627.679,17.32884739,-5.924649272,-5.598612934,-6.301564029
Q9BXQ6,TMEM121B,T121B_HUMAN,NA,NA,Transmembrane protein 121B (Cat eye syndrome critical region protein 6),NA,8.87E-05,0.000149673,0.000115818,0.107905342,0.100982172,0.066685172,0.100982172,-3.307827475,0.091739508,0.045987808,7.480076388,0.001253991,0.022070122,-3.814296184,58425,1.656195265,4,0,0,0.000115818,0.100982172,871.9006001,9.768019862,-3.212161807,-3.307827475,-3.906490195
Q8N8A6,DDX51,DDX51_HUMAN,cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleolus [GO:0005730]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]; RNA secondary structure unwinding [GO:0010501]; rRNA processing [GO:0006364],"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}.",ATP-dependent RNA helicase DDX51 (EC 3.6.4.13) (DEAD box protein 51),GO:0003723; GO:0004004; GO:0005524; GO:0005730; GO:0005737; GO:0006364; GO:0010501; GO:0016020,1.30E-05,1.00E-07,1.00E-07,0.104255019,0.087736625,0.06350848,0.087736625,-3.510676977,0.085162307,0.042585555,7.478634701,0.001254972,0.022070122,-3.815247897,72457,1.656195265,4,2,0,1.00E-07,0.087736625,877366.2514,19.74281969,-3.261811251,-3.510676977,-3.976906948
O43913,ORC5,ORC5_HUMAN,"cytosol [GO:0005829]; nuclear chromosome, telomeric region [GO:0000784]; nuclear origin of replication recognition complex [GO:0005664]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; origin recognition complex [GO:0000808]; ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; G1/S transition of mitotic cell cycle [GO:0000082]",SUBCELLULAR LOCATION: Nucleus.,Origin recognition complex subunit 5,GO:0000082; GO:0000166; GO:0000784; GO:0000808; GO:0003688; GO:0005524; GO:0005634; GO:0005654; GO:0005664; GO:0005829; GO:0006260; GO:0006270,0.000257429,0.036445425,0.000390507,0.126625144,0.175881615,0.142160265,0.142160265,-2.81440982,0.135857888,0.080293398,7.478307945,0.001255195,0.022070122,-3.815463623,50283,1.656195265,3,0,0,0.000390507,0.142160265,364.040539,8.507955306,-2.981364183,-2.507323409,-2.81440982
Q99856,ARID3A,ARI3A_HUMAN,"cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; membrane raft [GO:0045121]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; protein homodimerization activity [GO:0042803]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0001228]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355, ECO:0000269|PubMed:17400556}. Cytoplasm {ECO:0000269|PubMed:17400556}. Note=Shuttles between nucleus and cytoplasm.",AT-rich interactive domain-containing protein 3A (ARID domain-containing protein 3A) (B-cell regulator of IgH transcription) (Bright) (Dead ringer-like protein 1) (E2F-binding protein 1),GO:0000977; GO:0000981; GO:0001228; GO:0003682; GO:0005634; GO:0005654; GO:0005829; GO:0006977; GO:0042803; GO:0043231; GO:0045121,0.002095825,1.00E-07,1.00E-07,0.198029017,0.213307843,0.131702607,0.198029017,-2.336216253,0.180314481,0.090855915,7.477672346,0.001255628,0.022070122,-3.815883271,62889,1.656195265,8,2,0,1.00E-07,0.198029017,1980290.17,20.91728041,-2.336216253,-2.228991085,-2.924644192
