PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_T_1,ConditionNorm_N41_T_2,ConditionNorm_N41_T_3,ConditionNorm_N41_T_4,ConditionNorm_N41_T_5,MedianConditionNormN41N,MedianConditionNormN41T,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,N41N_Undetected,N41T_Undetected,LysoAssociated,LiveAssociated,NES
Q05682,CALD1,CALD1_HUMAN,actin cap [GO:0030478]; actin cytoskeleton [GO:0015629]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; myofibril [GO:0030016]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; cadherin binding [GO:0045296]; calmodulin binding [GO:0005516]; myosin binding [GO:0017022]; tropomyosin binding [GO:0005523]; muscle contraction [GO:0006936],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, myofibril {ECO:0000250}. Note=On thin filaments in smooth muscle and on stress fibers in fibroblasts (nonmuscle). {ECO:0000250}.",Caldesmon (CDM),GO:0003779; GO:0005516; GO:0005523; GO:0005829; GO:0005856; GO:0005886; GO:0006936; GO:0015629; GO:0017022; GO:0030016; GO:0030478; GO:0043231; GO:0045296,1.00E-07,1.00E-07,0.010943419,0.009412234,0.010494358,0.011898063,0.003372643,0.013459208,0.018006398,1.00E-07,0.011898063,0.011404979,0.005743644,4.686671151,0.001346839,0.003573278,-2.469362184,"93,231",2.446933201,33,4,0,,,1
Q92625,ANKS1A,ANS1A_HUMAN,cytosol [GO:0005829]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; ephrin receptor binding [GO:0046875]; ephrin receptor signaling pathway [GO:0048013]; neuron remodeling [GO:0016322]; regulation of ephrin receptor signaling pathway [GO:1901187]; substrate-dependent cell migration [GO:0006929],SUBCELLULAR LOCATION: Cytoplasm. Cell projection {ECO:0000250}. Note=Cytoplasmic before and after growth factor treatment.,Ankyrin repeat and SAM domain-containing protein 1A (Odin),GO:0005654; GO:0005829; GO:0006929; GO:0016322; GO:0043005; GO:0046875; GO:0048013; GO:1901187,0.059877869,0.064822951,0.060150774,1.00E-07,0.177339749,0.213561762,0.144119153,0.155718052,0.080164489,0.040422437,0.155718052,0.110664557,0.098848363,4.613613631,0.001486954,0.003910233,-2.576080458,"123,108",2.407797328,27,0,0,,,1
Q3KQV9,UAP1L1,UAP1L_HUMAN,cytosol [GO:0005829]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048],,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 (EC 2.7.7.-),GO:0003977; GO:0005829; GO:0006048,0.125811538,0.168034326,0.113160851,0.13165625,0.239092286,0.257847489,0.240363494,0.130166156,0.142375485,0.335121623,0.239092286,-0.130600428,0.267269196,-4.51899468,0.00169227,0.004390217,-2.715384494,"57,030",2.357514039,7,0,0,,1,1
C9JLR9,C11orf95,CK095_HUMAN,nucleic acid binding [GO:0003676],,Uncharacterized protein C11orf95,GO:0003676,1.356207104,1.291436308,1.259720211,1.285207891,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.02917353,1.00E-07,-0.920334942,0.460167571,-4.451194608,0.001858109,0.004773569,-2.815953937,"73,197",2.321156766,5,0,5,,,1
Q9HCM3,KIAA1549,K1549_HUMAN,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]",SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,UPF0606 protein KIAA1549,GO:0000981; GO:0005886; GO:0016021,0.094106625,0.036452614,0.106682004,0.046977808,1.00E-07,1.00E-07,0.046275394,0.035727225,0.000109834,0.205842095,0.000109834,-0.215447995,0.124146528,-4.440219616,0.001886562,0.004837257,-2.832291818,"210,755",2.315400832,14,0,2,,1,1
Q96A83,COL26A1,COQA1_HUMAN,collagen trimer [GO:0005581]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; positive regulation of cell-substrate adhesion [GO:0010811],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.",Collagen alpha-1(XXVI) chain (Alpha-1 type XXVI collagen) (EMI domain-containing protein 2) (Emilin and multimerin domain-containing protein 2) (Emu2),GO:0005576; GO:0005581; GO:0005788; GO:0005794; GO:0005886; GO:0010811; GO:0031012,0.280070119,0.292171564,0.299948338,0.269774357,0.288143789,0.010958549,1.00E-07,0.013112803,0.062459412,0.377812735,0.013112803,-0.304447032,0.227158447,-4.310228429,0.002261644,0.005681783,-3.027026904,"45,381",2.245515348,6,0,1,,1,1
P52757,CHN2,CHIO_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]; SH3/SH2 adaptor activity [GO:0005070]; intracellular signal transduction [GO:0035556]; regulation of GTPase activity [GO:0043087]; regulation of small GTPase mediated signal transduction [GO:0051056],SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.,Beta-chimaerin (Beta-chimerin) (Rho GTPase-activating protein 3),GO:0005070; GO:0005096; GO:0005737; GO:0005829; GO:0016020; GO:0035556; GO:0043087; GO:0046872; GO:0051056,0.427927436,0.370344157,0.36558183,0.15292912,1.00E-07,1.00E-07,0.477720883,0.000113816,0.183216548,0.709538936,0.000113816,-0.512742564,0.388581571,-4.154292111,0.002820394,0.00692994,-3.263549421,"53,924",2.159270512,10,0,2,,1,1
O00221,NFKBIE,IKBE_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; cytoplasmic sequestering of transcription factor [GO:0042994]; D-serine transport [GO:0042942],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,NF-kappa-B inhibitor epsilon (NF-kappa-BIE) (I-kappa-B-epsilon) (IkB-E) (IkB-epsilon) (IkappaBepsilon),GO:0001650; GO:0005634; GO:0005737; GO:0005794; GO:0005829; GO:0042942; GO:0042994; GO:0048471,0.452078106,0.471466436,0.579527251,0.371163656,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.179355405,1.00E-07,-0.232935222,0.116467711,-3.946565721,0.003805479,0.009080118,-3.583362042,"52,864",2.041908499,4,0,5,,,1
Q9NS39,ADARB2,RED2_HUMAN,nucleus [GO:0005634]; adenosine deaminase activity [GO:0004000]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; mRNA processing [GO:0006397],SUBCELLULAR LOCATION: Nucleus.,Double-stranded RNA-specific editase B2 (EC 3.5.-.-) (RNA-dependent adenosine deaminase 3) (RNA-editing deaminase 2) (RNA-editing enzyme 2) (dsRNA adenosine deaminase B2),GO:0003723; GO:0003725; GO:0003727; GO:0004000; GO:0005634; GO:0006397; GO:0046872,1.070900532,1.051156535,1.161041685,1.001067557,2.375166287,1.40332966,2.300805849,1.936352245,2.833031969,1.229571565,2.300805849,0.930320869,1.704576768,3.850535068,0.004379777,0.010319932,-3.732939836,"80,621",1.986323145,9,0,0,,1,1
P83876,TXNL4A,TXN4A_HUMAN,"cytosol [GO:0005829]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; cell cycle [GO:0007049]; cell division [GO:0051301]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing, via transesterification reactions [GO:0000375]; spliceosomal complex assembly [GO:0000245]",SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20858735}.,Thioredoxin-like protein 4A (DIM1 protein homolog) (Spliceosomal U5 snRNP-specific 15 kDa protein) (Thioredoxin-like U5 snRNP protein U5-15kD),GO:0000245; GO:0000375; GO:0000398; GO:0005634; GO:0005654; GO:0005681; GO:0005682; GO:0005829; GO:0007049; GO:0031965; GO:0046540; GO:0051301,0.298769637,0.210324683,0.353892392,0.225084944,0.198205333,0.128285243,0.141309191,0.17118398,0.114476947,0.286641801,0.141309191,-0.151869762,0.22662702,-3.778357776,0.004871899,0.011346589,-3.846042549,"16,786",1.945134682,6,0,0,,,1
Q9Y5B0,CTDP1,CTDP1_HUMAN,"centrosome [GO:0005813]; cytoplasm [GO:0005737]; DNA-directed RNA polymerase II, holoenzyme [GO:0016591]; intracellular membrane-bounded organelle [GO:0043231]; midbody [GO:0030496]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; spindle [GO:0005819]; spindle midzone [GO:0051233]; spindle pole [GO:0000922]; CTD phosphatase activity [GO:0008420]; phosphoprotein phosphatase activity [GO:0004721]; Tat protein binding [GO:0030957]; TFIIF-class transcription factor binding [GO:0001096]; cell division [GO:0051301]; dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]; exit from mitosis [GO:0010458]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; positive regulation by host of viral transcription [GO:0043923]; protein dephosphorylation [GO:0006470]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22692537}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:22692537}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:22692537}. Midbody {ECO:0000269|PubMed:22692537}. Note=Found at centrosomes in prometaphase, at spindle and spindle poles in metaphase and at spindle midzone and midbody in anaphase and telophase-G1 respectively.",RNA polymerase II subunit A C-terminal domain phosphatase (EC 3.1.3.16) (TFIIF-associating CTD phosphatase),GO:0000922; GO:0001096; GO:0004721; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005819; GO:0006366; GO:0006368; GO:0006470; GO:0008420; GO:0010458; GO:0016591; GO:0030496; GO:0030957; GO:0032991; GO:0043231; GO:0043923; GO:0051233; GO:0051301; GO:0061052; GO:0070940,0.016776799,0.041436966,0.020461251,0.010645231,1.00E-07,1.00E-07,1.00E-07,6.48E-05,1.00E-07,0.020378001,1.00E-07,-0.026408066,0.013217079,-3.641852963,0.005970374,0.013603273,-4.061446052,"104,399",1.866356586,19,0,4,,1,1
Q86YR5,GPSM1,GPSM1_HUMAN,cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; GDP-dissociation inhibitor activity [GO:0005092]; cell differentiation [GO:0030154]; negative regulation of GTPase activity [GO:0034260]; negative regulation of guanyl-nucleotide exchange factor activity [GO:1905098]; nervous system development [GO:0007399]; positive regulation of macroautophagy [GO:0016239],"SUBCELLULAR LOCATION: Cytoplasm, cytosol. Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side. Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side. Cell membrane; Peripheral membrane protein; Cytoplasmic side.",G-protein-signaling modulator 1 (Activator of G-protein signaling 3),GO:0000139; GO:0005092; GO:0005789; GO:0005829; GO:0005886; GO:0007399; GO:0016239; GO:0030154; GO:0032991; GO:0034260; GO:1905098,0.040436949,0.038821818,1.00E-07,0.056086958,0.067128095,0.021516344,0.02490273,0.104166096,0.067379876,0.219203241,0.067128095,-0.130477247,0.122257252,-3.616184544,0.00620478,0.014092212,-4.102157717,"74,510",1.851020827,22,0,0,,1,1
P08138,NGFR,TNR16_HUMAN,cell surface [GO:0009986]; cytosol [GO:0005829]; endosome [GO:0005768]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; calmodulin binding [GO:0005516]; coreceptor activity [GO:0015026]; death receptor activity [GO:0005035]; nerve growth factor binding [GO:0048406]; neurotrophin binding [GO:0043121]; Rab GTPase binding [GO:0017137]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; tumor necrosis factor-activated receptor activity [GO:0005031]; ubiquitin protein ligase binding [GO:0031625]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic signaling pathway [GO:0097190]; axon guidance [GO:0007411]; cellular response to amyloid-beta [GO:1904646]; circadian regulation of gene expression [GO:0032922]; glucose homeostasis [GO:0042593]; immune response [GO:0006955]; inflammatory response [GO:0006954]; intracellular protein transport [GO:0006886]; membrane protein intracellular domain proteolysis [GO:0031293]; negative regulation of apoptotic process [GO:0043066]; negative regulation of axonogenesis [GO:0050771]; negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:1903588]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of neuron projection development [GO:0010977]; neuron apoptotic process [GO:0051402]; neurotrophin TRK receptor signaling pathway [GO:0048011]; positive regulation of apoptotic process [GO:0043065]; positive regulation of axonogenesis [GO:0050772]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of protein localization to nucleus [GO:1900182]; regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043281]; regulation of glucose import in response to insulin stimulus [GO:2001273]; response to lipopolysaccharide [GO:0032496]; Rho protein signal transduction [GO:0007266],SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.,Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (p75 ICD) (CD antigen CD271),GO:0004888; GO:0005031; GO:0005035; GO:0005516; GO:0005576; GO:0005634; GO:0005654; GO:0005768; GO:0005829; GO:0005886; GO:0005887; GO:0006886; GO:0006919; GO:0006954; GO:0006955; GO:0007266; GO:0007411; GO:0009986; GO:0010977; GO:0015026; GO:0016021; GO:0017137; GO:0031293; GO:0031625; GO:0032496; GO:0032922; GO:0038023; GO:0042593; GO:0043005; GO:0043065; GO:0043066; GO:0043121; GO:0043154; GO:0043281; GO:0048011; GO:0048406; GO:0050771; GO:0050772; GO:0051402; GO:0097190; GO:1900182; GO:1902895; GO:1903588; GO:1904646; GO:2001273,0.396558137,0.323341924,0.189099816,0.233322424,1.216570637,1.532597095,1.787201885,0.726262697,1.447022856,0.178658397,1.447022856,0.950928612,0.866466728,3.610456934,0.006258402,0.014196561,-4.111250601,"45,183",1.847816843,3,0,0,,1,1
Q92796,DLG3,DLG3_HUMAN,AMPA glutamate receptor complex [GO:0032281]; basolateral plasma membrane [GO:0016323]; bicellular tight junction [GO:0005923]; cytosol [GO:0005829]; dendritic shaft [GO:0043198]; extracellular space [GO:0005615]; growth cone [GO:0030426]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; guanylate kinase activity [GO:0004385]; ionotropic glutamate receptor binding [GO:0035255]; kinase binding [GO:0019900]; ligand-gated ion channel activity [GO:0015276]; PDZ domain binding [GO:0030165]; phosphatase binding [GO:0019902]; protein C-terminus binding [GO:0008022]; protein phosphatase binding [GO:0019903]; ubiquitin protein ligase binding [GO:0031625]; chemical synaptic transmission [GO:0007268]; establishment of planar polarity [GO:0001736]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; negative regulation of cell proliferation [GO:0008285]; negative regulation of phosphatase activity [GO:0010923]; nervous system development [GO:0007399]; positive regulation of protein tyrosine kinase activity [GO:0061098]; receptor clustering [GO:0043113]; receptor localization to synapse [GO:0097120],,Disks large homolog 3 (Neuroendocrine-DLG) (Synapse-associated protein 102) (SAP-102) (SAP102) (XLMR),GO:0001736; GO:0004385; GO:0005615; GO:0005829; GO:0005886; GO:0005923; GO:0007268; GO:0007399; GO:0008022; GO:0008285; GO:0010923; GO:0014069; GO:0015276; GO:0016323; GO:0019900; GO:0019902; GO:0019903; GO:0030165; GO:0030426; GO:0031625; GO:0032281; GO:0035255; GO:0043025; GO:0043113; GO:0043198; GO:0045197; GO:0045211; GO:0061098; GO:0097120,0.150046295,0.148859715,0.127436452,0.08053983,1.00E-07,0.03142905,1.00E-07,0.003296342,1.00E-07,0.067888066,1.00E-07,-0.055877378,0.034883828,-3.524826221,0.007121206,0.015919408,-4.247552521,"90,314",1.798073096,12,0,3,,,1
Q86UU1,PHLDB1,PHLB1_HUMAN,basal cortex [GO:0045180]; positive regulation of basement membrane assembly involved in embryonic body morphogenesis [GO:1904261]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of gastrulation [GO:0010470]; regulation of microtubule cytoskeleton organization [GO:0070507],,Pleckstrin homology-like domain family B member 1 (Protein LL5-alpha),GO:0010470; GO:0010717; GO:0045180; GO:0070507; GO:1904261,0.061672575,1.00E-07,0.005243509,0.012102308,0.042040162,0.009509817,0.115449999,0.048929059,0.019234542,0.160795639,0.042040162,-0.093131686,0.093598559,-3.377821481,0.008907868,0.019475561,-4.482985921,"151,162",1.710510025,24,0,0,,,1
Q8IVF7,FMNL3,FMNL3_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; GTPase activating protein binding [GO:0032794]; Rho GTPase binding [GO:0017048]; actin cytoskeleton organization [GO:0030036]; angiogenesis [GO:0001525]; cell migration [GO:0016477]; cytoskeleton organization [GO:0007010]; regulation of cell shape [GO:0008360],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21834987}. Cell membrane {ECO:0000269|PubMed:22275430}; Lipid-anchor {ECO:0000255}. Note=Enriched in lamellipodia.,Formin-like protein 3 (Formin homology 2 domain-containing protein 3) (WW domain-binding protein 3) (WBP-3),GO:0001525; GO:0003779; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0007010; GO:0008360; GO:0016477; GO:0017048; GO:0030036; GO:0032794; GO:0043231,0.072861959,0.095253392,0.094095219,0.122723214,1.00E-07,1.00E-07,1.00E-07,0.084452676,0.000513007,0.130968655,1.00E-07,-0.101756939,0.067871666,-3.291852866,0.010165903,0.021904903,-4.621400128,"117,213",1.659458663,11,0,3,,,1
Q06136,KDSR,KDSR_HUMAN,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; 3-dehydrosphinganine reductase activity [GO:0047560]; 3-keto-sphinganine metabolic process [GO:0006666]; sphingolipid biosynthetic process [GO:0030148],SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15328338}; Multi-pass membrane protein {ECO:0000269|PubMed:15328338}.,3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1) (FVT-1) (Short chain dehydrogenase/reductase family 35C member 1),GO:0005615; GO:0005783; GO:0005789; GO:0006666; GO:0016020; GO:0016021; GO:0030148; GO:0047560,0.201229062,0.191160938,0.11436579,0.083567282,0.08764049,0.056798929,0.076734855,0.06720482,0.030421017,0.168347078,0.06720482,-0.093346524,0.110433285,-3.289516901,0.01020258,0.02197881,-4.625167774,"36,187",1.657995821,6,0,0,,,1
P54762,EPHB1,EPHB1_HUMAN,axon [GO:0030424]; cytosol [GO:0005829]; dendrite [GO:0030425]; early endosome membrane [GO:0031901]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; filopodium tip [GO:0032433]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; axon guidance receptor activity [GO:0008046]; protein tyrosine kinase activity [GO:0004713]; protein-containing complex binding [GO:0044877]; transmembrane-ephrin receptor activity [GO:0005005]; angiogenesis [GO:0001525]; axon guidance [GO:0007411]; camera-type eye morphogenesis [GO:0048593]; cell chemotaxis [GO:0060326]; cell-substrate adhesion [GO:0031589]; central nervous system projection neuron axonogenesis [GO:0021952]; dendritic spine development [GO:0060996]; dendritic spine morphogenesis [GO:0060997]; detection of temperature stimulus involved in sensory perception of pain [GO:0050965]; ephrin receptor signaling pathway [GO:0048013]; establishment of cell polarity [GO:0030010]; immunological synapse formation [GO:0001771]; negative regulation of satellite cell differentiation [GO:1902725]; negative regulation of skeletal muscle satellite cell proliferation [GO:1902723]; neural precursor cell proliferation [GO:0061351]; neurogenesis [GO:0022008]; optic nerve morphogenesis [GO:0021631]; positive regulation of synapse assembly [GO:0051965]; protein autophosphorylation [GO:0046777]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of JNK cascade [GO:0046328]; regulation of neuron death [GO:1901214]; retinal ganglion cell axon guidance [GO:0031290]; skeletal muscle satellite cell activation [GO:0014719],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18034775}; Single-pass type I membrane protein {ECO:0000269|PubMed:18034775}. Early endosome membrane {ECO:0000269|PubMed:18034775}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q8CBF3}.",Ephrin type-B receptor 1 (EC 2.7.10.1) (ELK) (EPH tyrosine kinase 2) (EPH-like kinase 6) (EK6) (hEK6) (Neuronally-expressed EPH-related tyrosine kinase) (NET) (Tyrosine-protein kinase receptor EPH-2),GO:0001525; GO:0001771; GO:0004713; GO:0005005; GO:0005524; GO:0005576; GO:0005783; GO:0005829; GO:0005886; GO:0005887; GO:0007411; GO:0008046; GO:0014719; GO:0021631; GO:0021952; GO:0022008; GO:0030010; GO:0030424; GO:0030425; GO:0031290; GO:0031589; GO:0031901; GO:0032433; GO:0044877; GO:0045121; GO:0046328; GO:0046777; GO:0048013; GO:0048593; GO:0050965; GO:0051965; GO:0060326; GO:0060996; GO:0060997; GO:0061351; GO:0070062; GO:0070372; GO:1901214; GO:1902723; GO:1902725,0.791340913,0.750501098,0.665535967,0.950119419,1.00E-07,1.00E-07,0.212616528,0.000157055,0.972566012,0.808029552,0.000157055,-0.620517371,0.547326645,-3.271052684,0.010497406,0.022519493,-4.654959916,"109,885",1.647441401,5,0,2,,,1
P51674,GPM6A,GPM6A_HUMAN,axonal growth cone [GO:0044295]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; extracellular vesicle [GO:1903561]; filopodium [GO:0030175]; integral component of membrane [GO:0016021]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; calcium channel activity [GO:0005262]; neural retina development [GO:0003407]; neuron migration [GO:0001764]; neuron projection morphogenesis [GO:0048812]; positive regulation of filopodium assembly [GO:0051491]; stem cell differentiation [GO:0048863]; synapse assembly [GO:0007416],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell projection, axon {ECO:0000250}. Cell projection, dendritic spine {ECO:0000250}. Cell projection, filopodium {ECO:0000250}. Note=Localizes to cholesterol-rich lipid rafts of the plasma membrane of hippocampal neurons. Localized to plasma membrane of cell bodies and neurites of hippocampal neurons. Localized in membrane protrusions (filopodia and spines) of primary hippocampal neurons. Localized to the growth cone edge membrane of elongating axons (By similarity). {ECO:0000250}.",Neuronal membrane glycoprotein M6-a (M6a),GO:0001764; GO:0003407; GO:0005262; GO:0005886; GO:0007416; GO:0016021; GO:0030175; GO:0043005; GO:0043025; GO:0043197; GO:0044295; GO:0048812; GO:0048863; GO:0051491; GO:0070062; GO:1903561,0.155988028,0.18581291,0.055359688,0.168477478,0.317642839,0.2160773,0.230780611,0.244405471,0.171838888,0.048665362,0.230780611,0.162187591,0.155055226,3.269600871,0.010520962,0.022564792,-4.657303276,"31,210",1.646568667,3,2,0,,,1
Q14195,DPYSL3,DPYL3_HUMAN,"cell body [GO:0044297]; cytosol [GO:0005829]; exocytic vesicle [GO:0070382]; extracellular space [GO:0005615]; filamentous actin [GO:0031941]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; chondroitin sulfate binding [GO:0035374]; filamin binding [GO:0031005]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; SH3 domain binding [GO:0017124]; actin crosslink formation [GO:0051764]; actin filament bundle assembly [GO:0051017]; cellular response to cytokine stimulus [GO:0071345]; negative regulation of cell migration [GO:0030336]; negative regulation of neuron projection development [GO:0010977]; neuron development [GO:0048666]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of neuron projection development [GO:0010976]; protein homooligomerization [GO:0051260]; response to axon injury [GO:0048678]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Note=Colocalizes with synaptic vesicle protein 2 in the central region of the growth cone. {ECO:0000250}.",Dihydropyrimidinase-related protein 3 (DRP-3) (Collapsin response mediator protein 4) (CRMP-4) (Unc-33-like phosphoprotein 1) (ULIP-1),GO:0005615; GO:0005829; GO:0010976; GO:0010977; GO:0016810; GO:0017124; GO:0030027; GO:0030336; GO:0030426; GO:0031005; GO:0031941; GO:0035374; GO:0044297; GO:0048666; GO:0048678; GO:0051017; GO:0051260; GO:0051491; GO:0051764; GO:0070382; GO:0071345,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.007235822,0.007665237,1.00E-07,0.011302418,0.017115348,1.00E-07,0.007665237,0.008663685,0.004331943,3.071295082,0.014319602,0.029839765,-4.978354407,"61,963",1.525204596,31,5,1,,,1
Q9P2P1,NYNRIN,NYNRI_HUMAN,integral component of membrane [GO:0016021]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074],SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,Protein NYNRIN (NYN domain and retroviral integrase catalytic domain-containing protein) (Protein cousin of GIN1),GO:0003676; GO:0015074; GO:0016021,0.108262031,0.024563339,0.306138333,0.099522285,0.297640561,0.469876882,0.686368648,0.695980928,0.384194797,0.243731402,0.469876882,0.252528523,0.380548102,3.066679806,0.014423376,0.029988427,-4.985844636,"208,366",1.523046315,13,0,0,,1,1
